Job Title,Job Address,Job Link
Data Scientist I,"West Hollywood, CA
Actively Hiring
1 week ago",https://www.linkedin.com/jobs/view/data-scientist-i-at-tinder-3928589137?position=1&pageNum=0&refId=yC0ifwB8h5b01fPhEBRPFA%3D%3D&trackingId=dvPxTBQ%2F2X29gJeVE2rFUw%3D%3D&trk=public_jobs_jserp-result_search-card
Data Scientist,"Los Angeles, CA
5 days ago",https://www.linkedin.com/jobs/view/data-scientist-at-paramount-pictures-3927856491?position=2&pageNum=0&refId=yC0ifwB8h5b01fPhEBRPFA%3D%3D&trackingId=rm5hDA3YTakhP4AausjauA%3D%3D&trk=public_jobs_jserp-result_search-card
"Data Scientist, Decisions","New York, NY
Actively Hiring
1 week ago",https://www.linkedin.com/jobs/view/data-scientist-decisions-at-lyft-3926349865?position=3&pageNum=0&refId=yC0ifwB8h5b01fPhEBRPFA%3D%3D&trackingId=DgDjWepAjbH%2BJ5Dt3oahCQ%3D%3D&trk=public_jobs_jserp-result_search-card
Junior Data Scientist,"Pleasanton, CA
21 hours ago",https://www.linkedin.com/jobs/view/junior-data-scientist-at-flexon-technologies-inc-3936596729?position=4&pageNum=0&refId=yC0ifwB8h5b01fPhEBRPFA%3D%3D&trackingId=yHytJMZtbTyTQ74GYyRn1g%3D%3D&trk=public_jobs_jserp-result_search-card
Data Scientist,"Sunnyvale, CA
Actively Hiring
5 days ago",https://www.linkedin.com/jobs/view/data-scientist-at-donato-technologies-inc-3932315932?position=5&pageNum=0&refId=yC0ifwB8h5b01fPhEBRPFA%3D%3D&trackingId=58ZtgXh3s5J0qya%2B14fH2w%3D%3D&trk=public_jobs_jserp-result_search-card
AI/ML Engineer,"New York, NY
3 hours ago",https://www.linkedin.com/jobs/view/ai-ml-engineer-at-wesper-3937188457?position=6&pageNum=0&refId=yC0ifwB8h5b01fPhEBRPFA%3D%3D&trackingId=rwRunlOC1C%2Fqd9hwfEw7dQ%3D%3D&trk=public_jobs_jserp-result_search-card
Junior Data Scientist,"El Dorado, CA
1 day ago",https://www.linkedin.com/jobs/view/junior-data-scientist-at-dexian-inc-3936382664?position=7&pageNum=0&refId=yC0ifwB8h5b01fPhEBRPFA%3D%3D&trackingId=mIAZxcS%2F28FLGiPSpoqBIQ%3D%3D&trk=public_jobs_jserp-result_search-card
ML/ Machine Learning/ Data Scientist/ AI/ Artificial Intelligence Engineer,"Richardson, TX
1 week ago",https://www.linkedin.com/jobs/view/ml-machine-learning-data-scientist-ai-artificial-intelligence-engineer-at-hatchpros-3930213251?position=8&pageNum=0&refId=yC0ifwB8h5b01fPhEBRPFA%3D%3D&trackingId=anwNAzv4P5BXUIR7Vly96w%3D%3D&trk=public_jobs_jserp-result_search-card
Data Scientist,"Virginia, United States
Actively Hiring
6 days ago",https://www.linkedin.com/jobs/view/data-scientist-at-sony-3927428479?position=9&pageNum=0&refId=yC0ifwB8h5b01fPhEBRPFA%3D%3D&trackingId=Oh4yeoeCcf7YvvJxKQc%2B0w%3D%3D&trk=public_jobs_jserp-result_search-card
Data Scientist,"New York, United States
Actively Hiring
4 days ago",https://www.linkedin.com/jobs/view/data-scientist-at-stott-and-may-3931299528?position=10&pageNum=0&refId=yC0ifwB8h5b01fPhEBRPFA%3D%3D&trackingId=AcmgvjCv%2FdIfKJjU91z6Wg%3D%3D&trk=public_jobs_jserp-result_search-card
